x,y,z
-1.0337545610169347,-0.9917781871793598,-3.4182798605460196e-06
-1.0339926991735169,-0.9917317449658141,-3.0100179801359483e-06
-1.0342307784185456,-0.9916853463368006,-3.3965510941383337e-06
-1.03446901382028,-0.9916392399330551,-2.9914029920016794e-06
-1.0347071902132616,-0.991593167711536,-3.3786796018557552e-06
-1.0349453095498249,-0.9915476092716626,-2.9842900482225654e-06
-1.035183230503168,-0.9915020227505955,-3.406835203584313e-06
-1.03542154394809,-0.9914564745856889,-3.026804684187062e-06
-1.0356598346388053,-0.9914109756552103,-3.4168980468998744e-06
-1.0358982835113595,-0.9913657792306441,-2.999989620371818e-06
-1.0361366717841964,-0.9913206192938546,-3.387818042224766e-06
-1.0363752121471137,-0.9912757490511959,-2.9901068202033143e-06
-1.0366135649355435,-0.9912311431416088,-3.308035775535789e-06
-1.0368518497549715,-0.9911867840243622,-2.9621239659438636e-06
-1.0370902580640873,-0.9911421760404069,-3.4416094389887186e-06
-1.0373289190798793,-0.991097881914249,-3.011713550240408e-06
-1.0375675158337576,-0.9910536277802091,-3.4015511722225444e-06
-1.0378062661239456,-0.9910096704942348,-2.9984445304373497e-06
-1.038044959374686,-0.9909657487404174,-3.3852513398081874e-06
-1.0382838023667633,-0.9909221166674949,-2.9871710620112124e-06
-1.038522221424773,-0.9908789603408017,-3.276300402536153e-06
-1.0387609213250093,-0.9908355657762217,-3.009419746916042e-06
-1.03899971088174,-0.9907922076090253,-3.4200098958242497e-06
-1.0392386697997642,-0.9907491557615045,-3.0115506827813054e-06
-1.039477568874701,-0.990706144760829,-3.3983276235341475e-06
-1.039716622098651,-0.990663429851886,-2.9929587040330996e-06
-1.039955615507345,-0.9906207464173132,-3.3804726612962632e-06
-1.0401945480907486,-0.9905785771421677,-2.9859888837115156e-06
-1.0404332826816538,-0.9905363759225149,-3.4085666073650767e-06
-1.0406724098131754,-0.9904942206787187,-3.028367979822366e-06
-1.040911513564973,-0.990452111920098,-3.4187035197648374e-06
-1.0411507734489927,-0.9904103095332137,-3.001588533578514e-06
-1.041389971839467,-0.9903685408961865,-3.38965843181549e-06
-1.0416293202542057,-0.9903270657499307,-2.9917197722252598e-06
-1.0418684782586642,-0.9902858496870651,-3.310040685093607e-06
-1.0421075673818712,-0.9902448822041966,-2.9637543043394e-06
-1.0423467816248149,-0.9902036665101914,-3.443452299516092e-06
-1.0425862465756786,-0.99016276920955,-3.0133341501724364e-06
-1.0428256466087766,-0.9901219089630657,-3.4034273493112333e-06
-1.0430651979757208,-0.9900813494053535,-3.00010631356859e-06
-1.0433046914161663,-0.9900408227517822,-3.3871500642705665e-06
-1.0435443325380789,-0.990000589551543,-2.9888392840231315e-06
-1.0437835454047835,-0.9899608233751921,-3.2782177827629655e-06
-1.0440230420545238,-0.9899208269296076,-3.011039067683796e-06
-1.044262627606559,-0.9898808655985077,-3.421888351774066e-06
-1.044502380642196,-0.9898412142852498,-3.013250469328932e-06
-1.0447420729261323,-0.9898016010870858,-3.4002657675162584e-06
-1.0449819171352348,-0.9897622878157414,-2.994673685766114e-06
-1.045221700798036,-0.9897230033799411,-3.3824294153848855e-06
-1.0454614196689624,-0.9896842335059503,-2.987839236238965e-06
-1.0457009409415525,-0.9896454280629143,-3.4104579297519755e-06
-1.0459408547925249,-0.9896066761879388,-3.030093482885715e-06
-1.0461807446656861,-0.9895679682445805,-3.4206741503055305e-06
-1.0464207884164898,-0.9895295703557141,-3.003347953292601e-06
-1.0466607698746324,-0.9894912035212856,-3.3916573626002755e-06
-1.0469008992346571,-0.9894531339738112,-2.9934918045794456e-06
-1.0471408353837497,-0.9894153183440275,-3.3122024835977038e-06
